date,close price,arithmetic price change,log price change,standerd diviation * sqrt(250),volatility
2017-01-03,113.4101,0.0011202014,0.0011195744,0.1805665712,18.06%
2017-01-04,113.2832,-0.0050597536,-0.0050725975,-,-
2017-01-05,113.8593,-0.0110250624,-0.0110862888,-,-
2017-01-06,115.1286,-0.0090770438,-0.0091184912,-,-
2017-01-09,116.1832,-0.0010068762,-0.0010073834,-,-
2017-01-10,116.3003,-0.0053444424,-0.0053587751,-,-
2017-01-11,116.9252,0.0041928253,0.0041840599,-,-
2017-01-12,116.437,0.001763714,0.0017621604,-,-
2017-01-13,116.232,-0.0079995357,-0.0080317037,-,-
2017-01-17,117.1693,0.000082793,8.27896175466375E-05,-,-
2017-01-18,117.1596,0.0017536734,0.0017521375,-,-
2017-01-19,116.9545,-0.0018332447,-0.0018349272,-,-
2017-01-20,117.1693,-0.0006661129,-0.0006663348,-,-
2017-01-23,117.2474,0.0009168516,0.0009164316,-,-
2017-01-24,117.14,-0.0156716104,-0.0157957084,-,-
2017-01-25,119.005,-0.0004921739,-0.0004922951,-,-
2017-01-26,119.0636,-8.14624269253424E-05,-8.14657451690147E-05,-,-
2017-01-27,119.0733,0.0026304954,0.0026270417,-,-
2017-01-30,118.7609,0.0023074164,0.0023047584,-,-
2017-01-31,118.4875,-0.0574754063,-0.0591932658,-,-
2017-02-01,125.7129,0.0017115797,0.0017101166,-,-
2017-02-02,125.4981,-0.0042607178,-0.0042698206,-,-
2017-02-03,126.0351,-0.00928731,-0.0093307059,-,-
2017-02-06,127.2166,-0.0094278947,-0.0094726186,-,-
2017-02-07,128.4274,-0.0038619262,-0.0038694027,-,-
2017-02-08,128.9253,-0.0071740508,-0.0071999081,-,-
2017-02-09,129.8569,0.0022699417,0.0022673693,-,-
2017-02-10,129.5628,-0.0087774395,-0.0088161882,-,-
2017-02-13,130.7101,-0.0128128054,-0.0128955974,-,-
2017-02-14,132.4066,-0.0036158514,-0.0036224043,-,-
2017-02-15,132.8871,0.0012190592,0.0012183168,-,-
2017-02-16,132.7253,-0.0027634791,-0.0027673046,-,-
2017-02-17,133.0931,-0.0071687475,-0.0071945665,-,-
2017-02-21,134.0541,-0.002990565,-0.0029950456,-,-
2017-02-22,134.4562,0.004248346,0.0042393473,-,-
2017-02-23,133.8874,-0.0009513867,-0.0009518396,-,-
2017-02-24,134.0149,-0.0019720032,-0.0019739502,-,-
2017-02-27,134.2797,-0.0004377003,-0.0004377961,-,-
2017-02-28,134.3385,-0.0200300107,-0.020233331,-,-
2017-03-01,137.0843,0.0059726837,0.005954918,-,-
2017-03-02,136.2704,-0.0058661531,-0.0058834265,-,-
2017-03-03,137.0745,0.0031578639,0.0031528883,-,-
2017-03-06,136.643,-0.0012900208,-0.0012908536,-,-
2017-03-07,136.8195,0.003740749,0.0037337698,-,-
2017-03-08,136.3096,0.0023074242,0.0023047662,-,-
2017-03-09,135.9958,-0.003306048,-0.003311525,-,-
2017-03-10,136.4469,-0.0004307512,-0.000430844,-,-
2017-03-13,136.5057,0.0015106405,0.0015095006,-,-
2017-03-14,136.2998,-0.0104652708,-0.0105204168,-,-
2017-03-15,137.7413,-0.0016351748,-0.0016365132,-,-
2017-03-16,137.9669,0.0050007139,0.0049882518,-,-
2017-03-17,137.2804,-0.010392007,-0.010446381,-,-
2017-03-20,138.722,0.0115850782,0.011518485,-,-
2017-03-21,137.1333,-0.0111722659,-0.0112351444,-,-
2017-03-22,138.6827,0.003547952,0.0035416729,-,-
2017-03-23,138.1924,0.001991041,0.0019890615,-,-
2017-03-24,137.9178,-0.0017039055,-0.0017053588,-,-
2017-03-27,138.1532,-0.0203061056,-0.0205151088,-,-
2017-03-28,141.0167,-0.0022203275,-0.0022227961,-,-
2017-03-29,141.3305,0.0013199267,0.0013190564,-,-
2017-03-30,141.1442,0.0018796219,0.0018778576,-,-
2017-03-31,140.8794,-0.0002781748,-0.0002782135,-,-
2017-04-03,140.9186,-0.0073911074,-0.007418557,-,-
2017-04-04,141.9679,0.0052077285,0.0051942152,-,-
2017-04-05,141.2324,0.0025056893,0.0025025553,-,-
2017-04-06,140.8794,0.0022324096,0.0022299215,-,-
2017-04-07,140.5656,0.0011873312,0.0011866269,-,-
2017-04-10,140.3989,0.0108734548,0.0108147638,-,-
2017-04-11,138.8887,-0.0011988028,-0.0011995219,-,-
2017-04-12,139.0554,0.0053173838,0.0053032965,-,-
2017-04-13,138.3199,-0.0054995226,-0.0055147006,-,-
2017-04-17,139.0848,0.0044617129,0.004451789,-,-
2017-04-18,138.467,0.0036960765,0.0036892628,-,-
2017-04-19,137.9571,-0.0123558343,-0.0124328023,-,-
2017-04-20,139.683,0.0011948425,0.0011941292,-,-
2017-04-21,139.5163,-0.0095378525,-0.0095836292,-,-
2017-04-24,140.8598,-0.0061580751,-0.0061771143,-,-
2017-04-25,141.7326,0.0059162947,0.0058988621,-,-
2017-04-26,140.899,-0.0007652108,-0.0007655037,-,-
2017-04-27,141.0069,0.0009746603,0.0009741856,-,-
2017-04-28,140.8696,-0.0199891612,-0.0201916474,-,-
2017-05-01,143.7429,-0.0063046603,-0.0063246186,-,-
2017-05-02,144.6549,0.0030600443,0.0030553719,-,-
2017-05-03,144.2136,0.0036174143,0.0036108871,-,-
2017-05-04,143.6938,-0.0163133365,-0.0164478641,-,-
2017-05-05,146.0768,-0.0264687927,-0.0268253979,-,-
2017-05-08,150.0484,-0.0063645002,-0.00638484,-,-
2017-05-09,151.0095,0.0047633432,0.0047520344,-,-
2017-05-10,150.2936,-0.0085742519,-0.0086112223,-,-
2017-05-11,151.5934,-0.0137732946,-0.0138690265,-,-
2017-05-12,153.7105,0.0025691934,0.0025658987,-,-
2017-05-15,153.3166,0.0014788667,0.0014777743,-,-
2017-05-16,153.0902,0.0347421191,0.0341522354,-,-
2017-05-17,147.9501,-0.0150121501,-0.015125973,-,-
2017-05-18,150.205,-0.0033977565,-0.0034035419,-,-
2017-05-19,150.7171,-0.0060389309,-0.006057239,-,-
2017-05-22,151.6328,0.0012354263,0.0012346638,-,-
2017-05-23,151.4457,0.0029994808,0.0029949913,-,-
2017-05-24,150.9928,-0.0034445503,-0.0034504964,-,-
2017-05-25,151.5147,0.0016931269,0.0016916951,-,-
2017-05-26,151.2586,-0.000390569,-0.0003906453,-,-
2017-05-30,151.3177,0.0059572561,0.0059395818,-,-
2017-05-31,150.4216,-0.0027420655,-0.0027458319,-,-
2017-06-01,150.8352,-0.0146030751,-0.0147107495,-,-
2017-06-02,153.0705,0.0098750641,0.0098266243,-,-
2017-06-05,151.5737,-0.0033671783,-0.00337286,-,-
2017-06-06,152.0858,-0.0059212363,-0.0059388363,-,-
2017-06-07,152.9917,0.0024518813,0.0024488804,-,-
2017-06-08,152.6175,0.0403409691,0.0395485143,-,-
2017-06-09,146.6995,0.0244807743,0.0241859226,-,-
2017-06-12,143.194,-0.0079815111,-0.0080135339,-,-
2017-06-13,144.3461,0.0098511243,0.0098029183,-,-
2017-06-14,142.938,0.0060296464,0.0060115408,-,-
2017-06-15,142.0813,0.0141985064,0.0140986517,-,-
2017-06-16,140.0922,-0.0278119555,-0.0282060318,-,-
2017-06-19,144.0999,0.0091714913,0.0091296886,-,-
2017-06-20,142.7903,-0.0058954128,-0.0059128594,-,-
2017-06-21,143.6371,0.001647829,0.0016464728,-,-
2017-06-22,143.4008,-0.0044431855,-0.0044530858,-,-
2017-06-23,144.0408,0.0031541655,0.0031492016,-,-
2017-06-26,143.5879,0.014541097,0.014436389,-,-
2017-06-27,141.5299,-0.0143999521,-0.0145046376,-,-
2017-06-28,143.5977,0.014963889,0.0148530346,-,-
2017-06-29,141.4806,-0.0023608155,-0.0023636067,-,-
2017-06-30,141.8154,0.0036234089,0.0036168602,-,-
2017-07-03,141.3034,-0.0040948829,-0.0041032899,-,-
2017-07-05,141.8844,0.0095286072,0.0094834963,-,-
2017-07-06,140.5452,-0.0100568418,-0.0101077535,-,-
2017-07-07,141.973,-0.0060662492,-0.0060847236,-,-
2017-07-10,142.8395,-0.0032295364,-0.0032347626,-,-
2017-07-11,143.3023,-0.0014410236,-0.0014420629,-,-
2017-07-12,143.5091,-0.013737389,-0.0138326201,-,-
2017-07-13,145.508,-0.0085214768,-0.0085579921,-,-
2017-07-14,146.7586,-0.0034765934,-0.0034826508,-,-
2017-07-17,147.2706,-0.0034652229,-0.0034712407,-,-
2017-07-18,147.7827,-0.0062242659,-0.0062437174,-,-
2017-07-19,148.7083,0.0045231416,0.0045129429,-,-
2017-07-20,148.0387,0.0004656356,0.0004655272,-,-
2017-07-21,147.9698,-0.0119663279,-0.0120385007,-,-
2017-07-24,149.7619,-0.0042552654,-0.0042643448,-,-
2017-07-25,150.4019,-0.0046919183,-0.0047029599,-,-
2017-07-26,151.1109,0.0192613687,0.0190782167,-,-
2017-07-27,148.2553,0.0070904787,0.0070654594,-,-
2017-07-28,147.2115,0.0051770769,0.0051637219,-,-
2017-07-31,146.4533,-0.0621730967,-0.0641898851,-,-
2017-08-01,156.1624,0.0092274126,0.0091851001,-,-
2017-08-02,154.7346,0.0100921348,0.0100415493,-,-
2017-08-03,153.1886,-0.0052436393,-0.0052574354,-,-
2017-08-04,153.9961,-0.0152379795,-0.0153552706,-,-
2017-08-07,156.379,-0.0079337891,-0.0079654291,-,-
2017-08-08,157.6296,-0.0060846965,-0.0061032837,-,-
2017-08-09,158.5946,0.0328995572,0.0323699513,-,-
2017-08-10,153.5431,-0.0137160968,-0.0138110315,-,-
2017-08-11,155.6784,-0.0148264823,-0.0149374932,-,-
2017-08-14,158.0213,-0.0108293328,-0.0108883969,-,-
2017-08-15,159.7513,0.0040387484,0.0040306145,-,-
2017-08-16,159.1087,0.0195739811,0.0193848744,-,-
2017-08-17,156.0541,0.0022858325,0.0022832239,-,-
2017-08-18,155.6982,0.0018447798,0.0018430803,-,-
2017-08-21,155.4115,-0.0160846231,-0.0162153847,-,-
2017-08-22,157.9521,-0.0012500806,-0.0012508626,-,-
2017-08-23,158.1498,0.0044579826,0.0044480752,-,-
2017-08-24,157.4479,-0.0036910433,-0.003697872,-,-
2017-08-25,158.0312,-0.0099710066,-0.0100210501,-,-
2017-08-28,159.6228,-0.008839073,-0.0088783693,-,-
2017-08-29,161.0463,-0.0026938104,-0.0026974452,-,-
2017-08-30,161.4813,-0.0039630209,-0.0039708944,-,-
2017-08-31,162.1238,-0.0003046126,-0.000304659,-,-
2017-09-01,162.1732,0.0121540975,0.0120808296,-,-
2017-09-05,160.2258,0.0010502463,0.0010496951,-,-
2017-09-06,160.0577,0.004030356,0.0040222558,-,-
2017-09-07,159.4152,0.0165800254,0.0164440774,-,-
2017-09-08,156.8152,-0.0177711077,-0.0179309099,-,-
2017-09-11,159.6524,0.0039787523,0.003970858,-,-
2017-09-12,159.0197,0.0075787145,0.0075501403,-,-
2017-09-13,157.8236,0.008655372,0.008618129,-,-
2017-09-14,156.4693,-0.0100069028,-0.0100573084,-,-
2017-09-15,158.0509,0.0076255237,0.0075965964,-,-
2017-09-18,156.8548,-0.0003779138,-0.0003779852,-,-
2017-09-19,156.9141,0.0170438378,0.0169002212,-,-
2017-09-20,154.2845,0.017471537,0.0173206644,-,-
2017-09-21,151.6352,0.0098753,0.0098268579,-,-
2017-09-22,150.1524,0.0089008968,0.0088615173,-,-
2017-09-25,148.8277,-0.0169128221,-0.0170574772,-,-
2017-09-26,151.3881,-0.0070671679,-0.0070922587,-,-
2017-09-27,152.4656,0.0061975958,0.0061784697,-,-
2017-09-28,151.5265,-0.0054497075,-0.0054646114,-,-
2017-09-29,152.3568,0.0020151213,0.0020130937,-,-
2017-10-02,152.0504,-0.0043369019,-0.0043463335,-,-
2017-10-03,152.7127,0.006515111,0.0064939794,-,-
2017-10-04,151.7242,-0.0122913334,-0.0123674966,-,-
2017-10-05,153.6123,0.0005797166,0.0005795486,-,-
2017-10-06,153.5233,-0.0034655959,-0.003471615,-,-
2017-10-09,154.0572,-0.0003847739,-0.0003848479,-,-
2017-10-10,154.1165,-0.0041516164,-0.0041602583,-,-
2017-10-11,154.759,0.0035255905,0.0035193902,-,-
2017-10-12,154.2153,-0.0063063005,-0.0063262692,-,-
2017-10-13,155.194,-0.0180758224,-0.0182411858,-,-
2017-10-16,158.0509,-0.0036770129,-0.0036837897,-,-
2017-10-17,158.6342,0.0044443094,0.0044344626,-,-
2017-10-18,157.9323,0.024233506,0.0239445338,-,-
2017-10-19,154.1956,-0.0017279275,-0.0017294221,-,-
2017-10-20,154.4625,0.0005123608,0.0005122296,-,-
2017-10-23,154.3834,-0.0059200478,-0.0059376408,-,-
2017-10-24,155.3028,0.00441209,0.0044023852,-,-
2017-10-25,154.6206,-0.0063530948,-0.0063733616,-,-
2017-10-26,155.6092,-0.0345907521,-0.0352031765,-,-
2017-10-27,161.1847,-0.0220128667,-0.0222587652,-,-
2017-10-30,164.8127,-0.0137248049,-0.0138198608,-,-
2017-10-31,167.1062,0.0128827112,0.012800435,-,-
2017-11-01,164.9808,-0.007256894,-0.0072833534,-,-
2017-11-02,166.1868,-0.025449402,-0.0257788394,-,-
2017-11-03,170.5266,-0.0100431565,-0.0100939293,-,-
2017-11-06,172.2566,-0.0032029378,-0.0032080782,-,-
2017-11-07,172.8101,-0.008114276,-0.0081473759,-,-
2017-11-08,174.2238,0.0020469563,0.0020448642,-,-
2017-11-09,173.8679,0.0033203976,0.0033148972,-,-
2017-11-10,173.2925,0.004023801,0.0040157271,-,-
2017-11-13,172.598,0.0153498438,0.0152332268,-,-
2017-11-14,169.9887,0.0133659937,0.0132774569,-,-
2017-11-15,167.7466,-0.0118055547,-0.0118757937,-,-
2017-11-16,169.7506,0.0055832629,0.0055677342,-,-
2017-11-17,168.8081,0.0009997658,0.0009992663,-,-
2017-11-20,168.6395,-0.0182506717,-0.0184192697,-,-
2017-11-21,171.7745,-0.0104026842,-0.0104571703,-,-
2017-11-22,173.5802,-5.70309021079889E-05,-5.70325284316891E-05,-,-
2017-11-24,173.5901,0.0050545082,0.0050417771,-,-
2017-11-27,172.7171,0.0058938261,0.0058765255,-,-
2017-11-28,171.7051,0.0211825144,0.0209612837,-,-
2017-11-29,168.1434,-0.0137910445,-0.0138870244,-,-
2017-11-30,170.4947,0.0046770496,0.0046661462,-,-
2017-12-01,169.701,0.0073613521,0.0073343896,-,-
2017-12-04,168.4609,0.0009429467,0.0009425024,-,-
2017-12-05,168.3022,0.0037279986,0.0037210669,-,-
2017-12-06,167.6771,-0.0018311191,-0.0018327977,-,-
2017-12-07,167.9847,-0.0002951778,-0.0002952214,-,-
2017-12-08,168.0343,-0.0191117418,-0.0192967319,-,-
2017-12-11,171.3083,0.005649681,0.0056337814,-,-
2017-12-12,170.3459,-0.0033087319,-0.0033142179,-,-
2017-12-13,170.9114,0.0002902931,0.000290251,-,-
2017-12-14,170.8618,-0.0100592127,-0.0101101485,-,-
2017-12-15,172.598,-0.0138874367,-0.0139847694,-,-
2017-12-18,175.0287,0.0107713231,0.0107137256,-,-
2017-12-19,173.1635,0.0010897529,0.0010891595,-,-
2017-12-20,172.975,-0.003771242,-0.0037783711,-,-
2017-12-21,173.6298,0,0,-,-
2017-12-22,173.6298,0.0260304636,0.0256974379,-,-
2017-12-26,169.2248,-0.0001760661,-0.0001760816,-,-
2017-12-27,169.2546,-0.0028056193,-0.0028095624,-,-
2017-12-28,169.7308,0.0109318064,0.0108724861,-,-
2017-12-29,167.8954,-,-,-,-
